name,age,value,nationality,overall,potential,club
Aday Benítez,30,€5.5M,Spain,76,76,Girona FC
E. Embleton,19,€325K,England,59,76,Grimsby Town
Mosquera,30,€5.5M,Spain,76,76,Deportivo de La Coruña
Barragán,31,€5M,Spain,76,76,Real Betis
Toño García,28,€6M,Spain,76,76,Levante UD
Raúl Navas,30,€5.5M,Spain,76,76,Real Sociedad
T. Kraft,29,€5M,Germany,76,76,Hertha BSC
C. Dawson,28,€6M,England,76,76,West Bromwich Albion
J. Hogg,29,€6M,England,76,76,Huddersfield Town
L. Holtby,27,€8M,Germany,76,76,Hamburger SV
M. Antonio,28,€8M,England,76,76,West Ham United
Fran Sol,26,€8M,Spain,75,76,Willem II
J. Korb,26,€6.5M,Germany,75,76,Hannover 96
Jozabed,27,€7.5M,Spain,75,76,RC Celta
T. Arslan,27,€6.5M,Germany,75,76,Beşiktaş JK
Gálvez,29,€6M,Spain,75,76,Rayo Vallecano
Joel Robles,28,€5.5M,Spain,75,76,Real Betis
Keko,26,€8M,Spain,75,76,Real Valladolid CF
A. Younes,24,€8M,Germany,75,76,Napoli
Sabin Merino,26,€8M,Spain,75,76,CD Leganés
A. Flint,28,€6M,England,75,76,Middlesbrough
C. Günter,25,€6.5M,Germany,75,76,SC Freiburg
Fontàs,28,€6M,Spain,75,76,Sporting Kansas City
M. Kelly,28,€6M,England,75,76,Crystal Palace
Carles Gil,25,€8M,Spain,75,76,Deportivo de La Coruña
Sergi Guardiola,27,€8M,Spain,75,76,Getafe CF
Daniel Ayala,27,€5.5M,Spain,74,76,Middlesbrough
K. Roofe,25,€7M,England,74,76,Leeds United
S. Morrison,27,€5.5M,England,74,76,Cardiff City
S. Kittel,25,€7M,Germany,74,76,FC Ingolstadt 04
T. Smith,26,€4.1M,England,73,76,Huddersfield Town
T. Leibold,24,€4.2M,Germany,73,76,1. FC Nürnberg
C. Buchtmann,26,€4.9M,Germany,73,76,FC St. Pauli
C. Mathenia,26,€3.5M,Germany,73,76,1. FC Nürnberg
Pere Milla,25,€5M,Spain,73,76,SD Eibar
Hervías,25,€5M,Spain,73,76,SD Eibar
R. Bauer,23,€3.4M,Germany,72,76,1. FC Nürnberg
A. Hoffmann,25,€3.4M,Germany,72,76,Fortuna Düsseldorf
N. Powell,24,€4.1M,England,72,76,Wigan Athletic
M. Ducksch,24,€4.1M,Germany,72,76,Fortuna Düsseldorf
S. Ortega,25,€2.9M,Germany,72,76,DSC Arminia Bielefeld
J. Zimmer,24,€2.6M,Germany,71,76,Fortuna Düsseldorf
T. Kleindienst,22,€3.2M,Germany,71,76,SC Freiburg
Guillermo,25,€3.2M,Spain,71,76,CD Numancia
P. Bamford,24,€3.2M,England,71,76,Leeds United
D. Bentley,24,€2.3M,England,71,76,Brentford
Santi Comesaña,21,€2.4M,Spain,70,76,Rayo Vallecano
Nano,23,€2.5M,Spain,70,76,CD Tenerife
S. Kerk,24,€2.4M,Germany,70,76,1. FC Nürnberg
Alfonso Herrero,24,€1.8M,Spain,70,76,Real Oviedo
Fede Vico,23,€2.4M,Spain,70,76,Granada CF
Saúl,23,€2M,Spain,70,76,Deportivo de La Coruña
Pablo Marí,24,€2.1M,Spain,70,76,Deportivo de La Coruña
Aitor García,24,€2.4M,Spain,70,76,CF Rayo Majadahonda
J. Scowen,25,€2.1M,England,70,76,Queens Park Rangers
G. Ward,23,€2.4M,England,70,76,Ipswich Town
Javi Muñoz,23,€1.5M,Spain,69,76,Real Oviedo
M. Hartel,22,€1.5M,Germany,69,76,1. FC Union Berlin
C. Akpom,22,€1.5M,England,69,76,PAOK
P. Seguin,23,€1.2M,Germany,69,76,VfL Wolfsburg
M. Stefaniak,23,€1.5M,Germany,69,76,VfL Wolfsburg
Brian Oliván,24,€1.2M,Spain,69,76,Cádiz CF
Diego Caballo,24,€1.2M,Spain,69,76,Deportivo de La Coruña
R. Zentner,23,€1.1M,Germany,69,76,1. FSV Mainz 05
L. Thomas,19,€650K,England,62,76,Coventry City
M. Nicolas,20,€550K,Germany,62,76,Borussia Mönchengladbach
Z. Clough,23,€1.3M,England,68,76,Rochdale
Emilio Bernad,18,€500K,Spain,62,76,Valencia CF
M. Niemeyer,22,€1.3M,Germany,68,76,1. FC Magdeburg
Héctor,22,€1.3M,Spain,68,76,Málaga CF
David Carmona,21,€1.1M,Spain,68,76,Cádiz CF
Guerrero,16,€625K,Spain,63,76,CF Rayo Majadahonda
Raúl Guti,21,€1.3M,Spain,68,76,Real Zaragoza
J. Horn,21,€1.1M,Germany,68,76,1. FC Köln
Guille Donoso,22,€1.3M,Spain,68,76,CD Lugo
Iván Rodríguez,22,€1.1M,Spain,68,76,Málaga CF
G. Dobson,20,€1.3M,England,68,76,Walsall
Carlos Isaac,20,€625K,Spain,63,76,Atlético Madrid
J. Bohui,19,€700K,England,63,76,Manchester United
A. Seydel,22,€1.2M,Germany,67,76,Holstein Kiel
Jaime Sierra,20,€700K,Spain,63,76,CD Leganés
C. Özkan,18,€575K,Germany,63,76,DSC Arminia Bielefeld
M. Leitsch,20,€625K,Germany,63,76,VfL Bochum 1848
Ángel,20,€625K,Spain,63,76,Albacete BP
H. Burgoyne,21,€575K,England,63,76,Plymouth Argyle
J. Dasilva,19,€675K,England,63,76,Brentford
N. Schmidt,20,€700K,Germany,63,76,SV Wehen Wiesbaden
Joaquín,19,€700K,Spain,63,76,Atlético Madrid
K. Lankford,19,€775K,Germany,64,76,1. FC Heidenheim 1846
D. Eckert,21,€825K,Germany,64,76,RC Celta
Manu Hernando,19,€700K,Spain,64,76,Real Madrid
K. Staude,21,€1.2M,Germany,67,76,DSC Arminia Bielefeld
José Mena,20,€725K,Spain,64,76,Sevilla FC
M. Pennington,23,€1M,England,67,76,Ipswich Town
José Carlos,22,€900K,Spain,66,76,CD Lugo
J. Wildsmith,22,€800K,England,66,76,Sheffield Wednesday
R. Burke,21,€925K,England,66,76,Hull City
S. Wharton,20,€725K,England,64,76,Lincoln City
Viti,20,€800K,Spain,64,76,Real Oviedo
M. Wolfram,21,€800K,Germany,64,76,FC Carl Zeiss Jena
Ander Guevara,20,€1M,Spain,66,76,Real Sociedad
H. Weigelt,20,€725K,Germany,64,76,AZ Alkmaar
T. Adarabioyo,20,€925K,England,66,76,West Bromwich Albion
S. Kashket,22,€800K,England,64,76,Wycombe Wanderers
Joni Montiel,19,€1M,Spain,66,76,Deportivo de La Coruña
O. Käuper,21,€1M,Germany,66,76,SV Werder Bremen
B. Close,21,€925K,England,65,76,Portsmouth
B. Mason,20,€800K,England,65,76,Coventry City
E. Bwomono,19,€500K,England,62,75,Southend United
M. Shabani,19,€575K,Germany,62,75,FC Bayern München
L. Hemmerich,20,€575K,Germany,62,75,FC Erzgebirge Aue
Pipa,20,€975K,Spain,67,75,RCD Espanyol
N. Ferguson,17,€375K,England,60,75,West Bromwich Albion
Dani Molina,22,€675K,Spain,64,75,RC Celta
C. Ainley,20,€450K,England,60,75,Crewe Alexandra
J. Robinson,24,€2M,England,70,75,Nottingham Forest
T. Baack,19,€250K,Germany,58,75,VfL Bochum 1848
S. Clare,21,€775K,England,64,75,Heart of Midlothian
S. Friede,20,€350K,Germany,59,75,Hertha BSC
M. Schulz,23,€750K,Germany,65,75,FC Luzern
A. Edun,20,€550K,England,61,75,Ipswich Town
Eugeni,23,€1.3M,Spain,68,75,Albacete BP
A. Gürleyen,19,€250K,Germany,58,75,1. FSV Mainz 05
Postigo,29,€5M,Spain,75,75,Levante UD
N. Knothe,19,€400K,Germany,60,75,Eintracht Frankfurt
Merquelanz,23,€1.3M,Spain,68,75,Real Sociedad
Meseguer,18,€450K,Spain,61,75,Rayo Vallecano
J. Riley,21,€850K,England,66,75,Bradford City
Josep Martínez,20,€475K,Spain,62,75,UD Las Palmas
D. Phillips,23,€750K,England,66,75,Charlton Athletic
T. Fleckstein,19,€400K,Germany,60,75,Holstein Kiel
Rochina,27,€7M,Spain,75,75,Levante UD
Valery,18,€260K,Spain,58,75,Girona FC
J. Abu Hanna,20,€575K,Germany,63,75,1. FC Magdeburg
A. Donkor,20,€550K,Germany,61,75,FC Hansa Rostock
A. Smithies,28,€3.3M,England,73,75,Cardiff City
B. Fleming,18,€190K,England,57,75,Hull City
S. Dann,31,€4.5M,England,75,75,Crystal Palace
M. Ndjoli,19,€450K,England,60,75,Kilmarnock
C. Wickham,25,€3.1M,England,71,75,Crystal Palace
R. Harker,18,€220K,England,57,75,Burnley
M. Leitner,25,€4.8M,Germany,73,75,Norwich City
Iker Goujón,18,€325K,Spain,59,75,CF Reus Deportiu
Álex Pérez,26,€4M,Spain,73,75,Real Sporting de Gijón
Jorge Mier,19,€475K,Spain,61,75,Real Oviedo
T. Walker,21,€875K,England,65,75,Mansfield Town
J. Knight,20,€525K,England,62,75,Leicester City
T. Hübers,21,€875K,Germany,66,75,Hannover 96
Hugo Duro,18,€550K,Spain,62,75,Getafe CF
Chuca,21,€975K,Spain,66,75,Elche CF
Álex Blanco,19,€575K,Spain,62,75,Valencia CF
Rober Ibáñez,25,€3.9M,Spain,72,75,Getafe CF
L. Daschner,19,€550K,Germany,61,75,MSV Duisburg
F. Kent,22,€750K,England,65,75,Colchester United
G. Gül,19,€500K,Germany,61,75,Fortuna Düsseldorf
Patric,25,€3.2M,Spain,72,75,Lazio
A. Semenyo,18,€220K,England,57,75,Newport County
J. Lowe,23,€1.4M,England,69,75,Portsmouth
K. Sterling,19,€550K,England,61,75,Tottenham Hotspur
Aitor,27,€2.6M,Spain,72,75,Levante UD
A. Whiteman,19,€450K,England,61,75,Tottenham Hotspur
R. Strieder,25,€3.3M,Germany,72,75,FC Utrecht
C. Akono,18,€220K,Germany,57,75,SC Preußen Münster
S. Byram,24,€3.3M,England,72,75,Nottingham Forest
L. Tempelmann,19,€325K,Germany,59,75,SC Freiburg
J. Vickers,22,€675K,England,65,75,Lincoln City
N. Ennis,19,€280K,England,58,75,Wolverhampton Wanderers
T. Bergmann,21,€875K,Germany,66,75,1. FC Kaiserslautern
Luis Perea,20,€575K,Spain,62,75,CA Osasuna
Adrián Ortolá,24,€1.1M,Spain,69,75,Deportivo de La Coruña
P. Menzel,19,€280K,Germany,59,75,VfL Wolfsburg
J. Gondorf,30,€6M,Germany,75,75,SC Freiburg
P. Sussek,18,€325K,Germany,59,75,FC Ingolstadt 04
P. Lasogga,26,€3.9M,Germany,72,75,Hamburger SV
J. Meier,18,€290K,Germany,59,75,FC Bayern München
Arribas,19,€650K,Spain,63,75,AD Alcorcón
J. Lankester,18,€160K,England,54,75,Ipswich Town
T. Pledl,24,€3.9M,Germany,72,75,FC Ingolstadt 04
O. Shenton,20,€575K,England,62,75,Stoke City
Caro,25,€1.2M,Spain,69,75,Albacete BP
B. Goller,19,€325K,Germany,59,75,FC Schalke 04
Ruiz de Galarreta,24,€2.3M,Spain,70,75,UD Las Palmas
R. Hepburn-Murphy,19,€550K,England,61,75,Aston Villa
F. Kroos,27,€3.1M,Germany,72,75,1. FC Union Berlin
T. Reithmeir,18,€240K,Germany,58,75,1. FC Heidenheim 1846
L. Höler,23,€4M,Germany,72,75,SC Freiburg
M. Candlin,18,€325K,England,59,75,Blackburn Rovers
Miguelón,22,€850K,Spain,66,75,Villarreal CF
K. Goden,19,€500K,Germany,62,75,1. FC Nürnberg
W. Foderingham,27,€2.6M,England,72,75,Rangers FC
I. Kanu,18,€425K,England,60,75,Port Vale
Gerard Valentín,24,€2M,Spain,70,75,Deportivo de La Coruña
N. Mekonnen,18,€290K,Germany,59,75,RB Leipzig
J. Hugill,26,€3.9M,England,72,75,Middlesbrough
C. Frommann,20,€375K,Germany,60,75,SC Freiburg
J. Obita,24,€2.6M,England,71,75,Reading
Carlitos,28,€7M,Spain,75,75,Legia Warszawa
M. Bader,21,€975K,Germany,67,75,1. FC Köln
Benito,22,€1.1M,Spain,67,75,CF Rayo Majadahonda
D. Gayle,27,€7M,England,75,75,West Bromwich Albion
Oier,28,€4.7M,Spain,75,75,Levante UD
Bojan,27,€7M,Spain,75,75,Stoke City
A. Westwood,28,€6.5M,England,75,75,Burnley
T. Fosu,22,€1.1M,England,67,75,Charlton Athletic
Edgar Méndez,27,€7M,Spain,75,75,Cruz Azul
Lazo,22,€1.1M,Spain,67,75,CD Lugo
Roger Figueras,21,€775K,Spain,65,75,Gimnàstic de Tarragona
R. Matthews,24,€850K,England,67,75,Bolton Wanderers
Dani Romera,22,€1.1M,Spain,67,75,Cádiz CF
R. Preißinger,21,€975K,Germany,67,75,1. FC Magdeburg
Zubiaurre,21,€850K,Spain,67,75,Real Sociedad
Iraizoz,37,€450K,Spain,75,75,Girona FC
N. Oduwa,22,€775K,England,64,75,Vejle Boldklub
Diego Castro,35,€2.9M,Spain,75,75,Perth Glory
Alex Pozo,19,€975K,Spain,66,75,Granada CF
A. Wisdom,25,€2M,England,70,75,Derby County
M. Zetterer,22,€850K,Germany,67,75,SV Werder Bremen
F. Holthaus,23,€950K,Germany,67,75,FC Energie Cottbus
A. Jackson,24,€975K,England,67,75,Barnsley
Mikel Rico,33,€3.9M,Spain,75,75,Athletic Club de Bilbao
A. Mowatt,23,€1.1M,England,67,75,Barnsley
B. Diaby,20,€775K,Spain,65,75,Sporting Lokeren
P. Tschauner,32,€3.8M,Germany,75,75,Hannover 96
K. Günter,23,€2M,Germany,70,75,Genoa
J. Fitzwater,20,€875K,England,66,75,Walsall
S. Hughes,21,€675K,England,64,75,Leicester City
T. Jantschke,28,€5.5M,Germany,75,75,Borussia Mönchengladbach
Portillo,28,€6.5M,Spain,75,75,Getafe CF
S. Goss,22,€1.1M,Germany,67,75,Queens Park Rangers
José Cañas,31,€4.5M,Spain,75,75,PAOK
A. Surman,31,€5.5M,England,75,75,Bournemouth
M. Höger,28,€6.5M,Germany,75,75,1. FC Köln
B. Morris,22,€750K,England,64,75,Wycombe Wanderers
M. Risse,28,€6.5M,Germany,75,75,1. FC Köln
Javi López,32,€3.7M,Spain,75,75,RCD Espanyol
Álvaro García,25,€6.5M,Spain,74,75,Rayo Vallecano
Saúl Berjón,32,€5M,Spain,75,75,Real Oviedo
Escriche,20,€875K,Spain,65,75,CD Lugo
L. Page,22,€850K,England,66,75,Charlton Athletic
Luís Hernández,29,€5M,Spain,75,75,Málaga CF
Balenziaga,30,€4.8M,Spain,75,75,Athletic Club de Bilbao
Alcalá,29,€5M,Spain,75,75,Girona FC
Aguza,25,€2M,Spain,70,75,UD Almería
F. Niederlechner,27,€7M,Germany,75,75,SC Freiburg
J. McCarthy,22,€950K,England,67,75,Wycombe Wanderers
Ezkieta,21,€525K,Spain,63,75,FC Barcelona
Fran Rico,30,€4.9M,Spain,75,75,Granada CF
Rubén Pérez,29,€5M,Spain,75,75,CD Leganés
D. Mesenhöler,22,€850K,Germany,67,75,MSV Duisburg
J. Stanislas,28,€6.5M,England,75,75,Bournemouth
Ilie Sánchez,27,€5.5M,Spain,74,75,Sporting Kansas City
Josema,22,€975K,Spain,67,75,FC Sochaux-Montbéliard
Bigas,27,€5.5M,Spain,74,75,SD Eibar
T. Knöll,20,€775K,Germany,64,75,1. FC Nürnberg
R. Framberger,22,€950K,Germany,67,75,FC Augsburg
J. Justin,20,€575K,England,63,75,Luton Town
J. Tavernier,26,€5.5M,England,74,75,Rangers FC
Bicho,22,€1.1M,Spain,67,75,Deportivo de La Coruña
Carbonell,20,€1.1M,Spain,67,75,CF Reus Deportiu
Rodri Tarín,21,€975K,Spain,67,75,CD Leganés
T. Müller,20,€600K,Germany,64,75,Hallescher FC
Pedro Chirivella,21,€975K,Spain,66,75,Liverpool
Steven Prieto,20,€775K,Spain,64,75,Real Oviedo
M. Gulde,27,€5.5M,Germany,74,75,SC Freiburg
C. Daniels,31,€4.4M,England,75,75,Bournemouth
L. Walsh,20,€650K,England,63,75,Bristol City
Etxeberría,23,€1.1M,Spain,68,75,CD Numancia
David Costas,23,€2M,Spain,70,75,RC Celta
D. Fisher,24,€2.6M,England,71,75,Preston North End
Álex Díez,22,€850K,Spain,66,75,Extremadura UD
G. Thorne,25,€2.6M,England,71,75,Derby County
Timor,28,€5.5M,Spain,75,75,UD Las Palmas
Luna,27,€5M,Spain,74,75,Levante UD
H. Behrens,28,€6.5M,Germany,75,75,1. FC Nürnberg
T. Wellenreuther,22,€925K,Germany,68,75,Willem II
A. Fuchs,21,€975K,Germany,66,75,1. FC Nürnberg
Samu Saiz,27,€6.5M,Spain,74,75,Leeds United
C. Führich,20,€650K,Germany,63,75,1. FC Köln
Olabe,22,€850K,Spain,65,75,Extremadura UD
D. Crowley,20,€1.3M,England,68,75,Willem II
C. Zimmermann,25,€2M,Germany,70,75,Norwich City
Matos,23,€1.1M,Spain,68,75,Cádiz CF
Fidalgo,21,€875K,Spain,65,75,Real Madrid
Kike Barja,21,€1.3M,Spain,68,75,CA Osasuna
P. Neumann,20,€575K,Germany,63,75,FC Ingolstadt 04
W. Harding,21,€850K,England,66,75,Birmingham City
R. Fredericks,25,€4M,England,73,75,West Ham United
G. Evans,23,€1.1M,England,68,75,Derby County
D. Aogo,31,€4.5M,Germany,75,75,VfB Stuttgart
T. Handwerker,20,€650K,Germany,63,75,FC Groningen
Dani Calvo,24,€2.6M,Spain,71,75,CD Numancia
M. Hilßner,23,€1M,Germany,66,75,FC Hansa Rostock
Borja Herrera,25,€2M,Spain,70,75,CF Reus Deportiu
K. Bartley,27,€3.9M,England,73,75,West Bromwich Albion
Pablo Hernández,33,€4M,Spain,75,75,Leeds United
T. Schröck,25,€2M,Germany,70,75,FC Ingolstadt 04
Alberto Espeso,20,€575K,Spain,63,75,Real Sporting de Gijón
Ximo Navarro,28,€5.5M,Spain,75,75,Deportivo Alavés
M. Müller,24,€1.7M,Germany,70,75,RB Leipzig
K. Darlow,27,€3.2M,England,73,75,Newcastle United
Fran Manzanara,21,€775K,Spain,65,75,Levante UD
Iván Villar,20,€950K,Spain,68,75,RC Celta
Carrillo,24,€1.3M,Spain,68,75,Cádiz CF
M. Schnatterer,32,€5M,Germany,75,75,1. FC Heidenheim 1846
B. Manu,21,€1M,Germany,66,75,Hallescher FC
J. Cooper,23,€2.6M,England,71,75,Millwall
Chema,20,€650K,Spain,63,75,UD Almería
J. Dudziak,22,€2M,Germany,70,75,FC St. Pauli
C. Trueman,22,€675K,England,65,75,Birmingham City
Pastrana,21,€875K,Spain,65,75,RC Celta
Erik Expósito,22,€875K,Spain,65,75,Córdoba CF
H. Kane,19,€825K,England,65,75,Doncaster Rovers
Alex López,21,€1.1M,Spain,67,75,RCD Espanyol
S. Sinclair,29,€6.5M,England,75,75,Celtic
Borja Estepa,19,€575K,Spain,62,75,Córdoba CF
C. Chaplin,21,€875K,England,65,75,Coventry City
M. Adams,21,€675K,England,64,75,Chicago Fire
S. Francis,33,€2.7M,England,75,75,Bournemouth
M. Ostrzolek,28,€5.5M,Germany,75,75,Hannover 96
Samuel,21,€475K,Spain,62,74,CD Tenerife
A. Gilliead,22,€725K,England,64,74,Shrewsbury
Iván Jaime,17,€300K,Spain,59,74,Málaga CF
R. Becker,21,€625K,Germany,64,74,Eintracht Braunschweig
R. Hutton,19,€450K,England,62,74,Birmingham City
O. Rathbone,21,€725K,England,64,74,Rochdale
A. Rinomhota,21,€475K,England,61,74,Reading
D. Furlong,22,€900K,England,67,74,Queens Park Rangers
J. Nuttall,21,€550K,England,62,74,Blackburn Rovers
J. Wilson,22,€1.1M,England,67,74,Aberdeen
F. Şimşek,20,€350K,Germany,59,74,Çaykur Rizespor
Sergio Gil,22,€825K,Spain,66,74,CD Lugo
K. Wilson,18,€425K,England,62,74,Walsall
Varela,23,€900K,Spain,67,74,CF Rayo Majadahonda
C. Hall,20,€350K,England,59,74,Accrington Stanley
J. Forster-Caskey,24,€1.1M,England,67,74,Charlton Athletic
M. Folivi,20,€350K,England,59,74,Watford
A. Cannon,22,€825K,England,65,74,Rochdale
A. Kiwomya,22,€550K,England,62,74,Doncaster Rovers
Arturo Molina,22,€950K,Spain,66,74,Levante UD
L. Bürger,18,€190K,Germany,57,74,Eintracht Braunschweig
C. Senior,21,€725K,England,64,74,Colchester United
B. Thomas-Asante,19,€325K,England,59,74,Milton Keynes Dons
J. Bostock,26,€2.5M,England,71,74,Toulouse Football Club
S. Duke-McKenna,17,€250K,England,58,74,Bolton Wanderers
A. Gilbey,23,€1.1M,England,67,74,Milton Keynes Dons
S. Smith,20,€450K,England,60,74,Oxford United
K. Vincent-Young,22,€700K,England,65,74,Colchester United
D. Barlaser,21,€450K,England,60,74,Accrington Stanley
A. Bell,24,€900K,England,67,74,Blackburn Rovers
B. Crellin,18,€110K,England,54,74,Fleetwood Town
J. Allen,23,€825K,England,65,74,Burton Albion
Morro,17,€170K,Spain,57,74,Rayo Vallecano
P. Förster,23,€1.1M,Germany,67,74,SV Sandhausen
R. Hoffmann,19,€160K,Germany,56,74,FC Bayern München
Echu,20,€725K,Spain,64,74,CF Rayo Majadahonda
R. Hutchinson,18,€130K,England,54,74,Burton Albion
A. Fletcher,22,€1.1M,England,67,74,Middlesbrough
E. Celebi,18,€290K,Germany,59,74,1. FC Nürnberg
L. Coyle,22,€700K,England,65,74,Fleetwood Town
Martí Vilá,19,€450K,Spain,62,74,CF Reus Deportiu
K. Roberts,20,€650K,England,64,74,Walsall
Daniel Rebollo,18,€350K,Spain,60,74,Real Betis
H. Wahl,24,€2M,Germany,70,74,Holstein Kiel
F. Preston,19,€150K,England,54,74,Sheffield Wednesday
K. Narey,23,€3M,Germany,71,74,Hamburger SV
C. O'Hare,20,€350K,England,59,74,Aston Villa
P. Bauer,25,€1.9M,Germany,70,74,Charlton Athletic
Pol Lozano,18,€210K,Spain,57,74,RCD Espanyol
L. McGee,22,€550K,England,64,74,Portsmouth
C. Siya,19,€450K,Germany,60,74,DSC Arminia Bielefeld
A. Smith-Brown,22,€700K,England,65,74,Plymouth Argyle
R. McKenzie,19,€300K,England,59,74,Hull City
J. Stacey,22,€625K,England,64,74,Luton Town
G. Sağlam,20,€475K,Germany,61,74,VfL Bochum 1848
D. Rudd,27,€1.6M,England,70,74,Preston North End
T. Hamilton,19,€190K,England,56,74,Hull City
Diego Alende,20,€650K,Spain,64,74,RC Celta
E. Gründemann,19,€230K,Germany,58,74,FC Hansa Rostock
O. Hernández,25,€3M,Germany,71,74,Norwich City
R. Ziegele,21,€425K,Germany,60,74,VfL Wolfsburg
M. Ritter,23,€1.4M,Germany,69,74,SC Paderborn 07
J. Osei-Tutu,19,€240K,England,58,74,Arsenal
M. Schuhen,25,€1.6M,Germany,70,74,SV Sandhausen
M. Napa,19,€150K,England,54,74,Macclesfield Town
C. Morris,22,€950K,England,66,74,Norwich City
T. Bloor,18,€160K,England,55,74,Mansfield Town
Avilés,20,€850K,Spain,65,74,CD Leganés
O. Sims,17,€130K,England,54,74,Colchester United
M. Macey,23,€700K,England,66,74,Plymouth Argyle
D. Sterling,18,€425K,England,62,74,Coventry City
Eguaras,26,€2.5M,Spain,71,74,Real Zaragoza
A. Kigbu,19,€170K,England,55,74,Wolfsberger AC
T. Barkhuizen,24,€3M,England,71,74,Preston North End
A. Oteh,19,€280K,England,58,74,Queens Park Rangers
J. Price,25,€2.5M,England,71,74,Colorado Rapids
H. Wilder,18,€170K,England,56,74,Mansfield Town
T. Knipping,25,€2.5M,Germany,71,74,SV Sandhausen
S. High,17,€250K,England,58,74,Huddersfield Town
Borja,21,€825K,Spain,66,74,CD Lugo
Darío Ramos,18,€150K,Spain,56,74,Albacete BP
A. Brunst,22,€625K,Germany,65,74,1. FC Magdeburg
T. Odusina,18,€240K,England,58,74,Norwich City
Juan Muñoz,22,€1.4M,Spain,69,74,AD Alcorcón
L. Cass,18,€160K,England,55,74,Newcastle United
T. Carroll,26,€3.7M,England,72,74,Swansea City
J. Smith,20,€450K,England,60,74,Tranmere Rovers
B. Uphoff,24,€1M,Germany,69,74,Karlsruher SC
Giovanni,19,€475K,Spain,61,74,CD Tenerife
L. Zingerle,24,€1M,Germany,69,74,SC Paderborn 07
K. Ward,18,€180K,England,55,74,Mansfield Town
N. Baker,27,€3M,England,72,74,Bristol City
J. Williams,18,€170K,England,56,74,Barnsley
C. Dawson,22,€700K,England,66,74,Sheffield Wednesday
Sillero,20,€475K,Spain,62,74,Athletic Club de Bilbao
Raúl Lizoain,27,€2.5M,Spain,72,74,AD Alcorcón
N. Phillips,21,€425K,England,61,74,Liverpool
T. Trybull,25,€3.2M,Germany,72,74,Norwich City
C. Johnson,20,€425K,England,61,74,Walsall
D. Linsmayer,26,€3.1M,Germany,72,74,SV Sandhausen
L. Gelzleichter,18,€190K,Germany,56,74,SV Darmstadt 98
Guitián,27,€3M,Spain,72,74,Real Zaragoza
Eliseo Falcón,21,€425K,Spain,61,74,Granada CF
F. Hübner,27,€3M,Germany,72,74,1. FC Union Berlin
J. Löwe,19,€270K,Germany,58,74,SG Dynamo Dresden
Sebas Coris,25,€3M,Spain,71,74,Gimnàstic de Tarragona
N. Shipnoski,20,€550K,Germany,62,74,SV Wehen Wiesbaden
Javi Galán,23,€1.2M,Spain,69,74,Córdoba CF
Iván,21,€475K,Spain,61,74,Real Betis
Olavide,22,€950K,Spain,66,74,CA Osasuna
J. Tilley,20,€280K,England,58,74,Brighton & Hove Albion
S. Szmodics,22,€950K,England,66,74,Colchester United
T. Bakinson,19,€220K,England,57,74,Newport County
T. Leistner,27,€3.8M,Germany,73,74,Queens Park Rangers
Jon Toral,23,€1.4M,Spain,69,74,Hull City
E. Huth,21,€750K,Germany,64,74,1. FC Kaiserslautern
C. Colkett,21,€825K,England,65,74,Shrewsbury
Carlos Blanco,22,€825K,Spain,66,74,Villarreal CF
Rubén Alcaraz,27,€4.5M,Spain,73,74,Real Valladolid CF
J. Lolley,25,€4.8M,England,73,74,Nottingham Forest
Callejón,20,€525K,Spain,62,74,UD Almería
Sergi Canós,21,€1.2M,Spain,68,74,Brentford
L. Freeman,26,€4.7M,England,73,74,Queens Park Rangers
J. Wallace,24,€3M,England,71,74,Millwall
E. Berko,23,€1.2M,Germany,68,74,SG Dynamo Dresden
Carlos Hernández,27,€3.8M,Spain,73,74,Real Oviedo
K. Dempsey,22,€825K,England,65,74,Fleetwood Town
L. Reed,20,€825K,England,65,74,Peterborough United
K. Redondo,23,€1.2M,Germany,68,74,1. FC Union Berlin
Samuel Manchón,21,€550K,Spain,62,74,Extremadura UD
A. Jones,20,€475K,England,62,74,St. Mirren
H. McGahey,22,€825K,England,66,74,Rochdale
Nando,24,€1.2M,Spain,68,74,FC Sochaux-Montbéliard
R. Williams,21,€850K,England,65,74,Wycombe Wanderers
M. Odubajo,24,€1.9M,England,70,74,Brentford
O. Kiomourtzoglou,20,€650K,Germany,64,74,SpVgg Unterhaching
P. Pflücke,21,€625K,Germany,63,74,KFC Uerdingen 05
T. Ince,26,€4.7M,England,73,74,Stoke City
Álex Gallar,26,€4.7M,Spain,73,74,SD Huesca
A. Ferati,20,€625K,Germany,63,74,Hamburger SV
C. Borthwick-Jackson,21,€1M,England,68,74,Scunthorpe United
David Alba,19,€550K,Spain,63,74,Getafe CF
T. Lapslie,22,€825K,England,66,74,Colchester United
R. Yabo,26,€4.7M,Germany,73,74,FC Red Bull Salzburg
T. Schwede,24,€1.2M,Germany,68,74,SC Paderborn 07
L. Ayling,26,€3.8M,England,73,74,Leeds United
Álvaro Lemos,25,€2.4M,Spain,71,74,UD Las Palmas
T. Ndenge,21,€725K,Germany,65,74,FC Luzern
Pedro Díaz,20,€625K,Spain,63,74,Real Sporting de Gijón
N. Gießelmann,26,€3.8M,Germany,73,74,Fortuna Düsseldorf
Alex Muñoz,23,€1M,Spain,68,74,Real Zaragoza
D. Kinsombi,22,€1.2M,Germany,68,74,Holstein Kiel
J. Payne,23,€1.2M,England,68,74,Bradford City
