ï»¿SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE CITY,DEPARTURE STATE,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
S.S.Campbell,,,schooner,,,8/18/1879,1879,8,18,Great Egg Harbor E 50 mi,,,Dismasted in gale; In distress,,,,,,142.19,,"Deer Isle, ME",Providence,RI,"Baltimore, MD",Johnson,,,0,,,,,N,N,#4288; Partial loss,
S.S.Carlotta (1867),,,schooner,,,6/27/1867,1867,6,27,Squan Inlet,,,Foundered,,,,,,,,,Providence,RI,"Port Richmond, NY",Morton,5,,0,,,Coal,,Y,N,Total loss,
S.S.Carmelita,,,schooner,,,1857,1857,,,Brigantine Beach,,,Wrecked,,Mexico,,,,,,,LaGayrie,France,"New York, NY",,,,,"$25,500",,,,,N,,
S.S.Carolina (1842),,,schooner,,,4/2/1842,1742,4,2,Long Beach Island,,,Stranded,,,,,,,,,Salem,MA,,,,,1,,,,,,N,,
S.S.Caroline (1849),,,schooner,,,8/23/1849,1849,8,23,Hereford Inlet bar,,,Stranded,,,,,,,,,New York,NY,"Philadelphia, PA",McDonough,,,,,,,,,Y,,
S.S.Caroline Augusta,,,schooner,,,1/30/1877,1877,1,30,Tuckers Beach,,,Grounded,,,,,,21,,,Gravesend Bay,NY,Fishing,Colville,6,,0,"$5,000",,,Little Egg Harbor,,N,,
S.S.Caroline Hall,,John W Hall,schooner,1848,"Frederick, DE",3/13/1870,1870,3,13,Pecks Beach,,,Stranded,,,,,,117,,"Frederick, DE",Providence,RI,"Frederick, DE",,,,,,,Ballast,,N,N,Refloated,
S.S.Caroline Young,,Samuel R Young,schooner,1868,"Tuckerton, NJ",4/6/1886,1886,4,6,Cold Spring Bar,,,Foundered,Wood,US,,,,220.67,209.64,"Philadelphia, PA",Lanesville,MA,"Philadelphia, PA",Winfield S Corson,6,,0,"$5,000","$2,000",325 ton stone,,N,N,#5413; towed in,
S.S.Carrie A Lane,,A Seawall,schooner,1887,"Bath, ME",5/12/1888,1888,5,12,New Jersey coast,38-05-00 N,74-50-00 W,"Collision w/ ""Newport""",Wood,US,178.2,35.9,17.3,760,,"Bath, ME",Boston,MA,"Norfolk, VA",F S Dyer,,,,,,,,N,N,#126413; Partial loss,
S.S.Carrie C Miles,,,schooner,1871,"East Boston, MA",10/15/1907,1907,10,15,Sandy Hook LSS NE 3 mi,,,Stranded,,,89.8,25.2,8.1,106,101,"Rockland, ME",Perth Amboy,NJ,"Rockland, ME",,4,,0,"$2,500","$1,200",Coal,Sandy Hook,Y,N,#5953; Total loss,
S.S.Carrie D Allen,,D A Newcomb et al,schooner,1874,"Essex, MA",2/21/1879,1879,2,21,Sandy Hook,,,Lost sails & anchor in gale,,,,,,,,,Wellfleet,MA,,D A Newcomb,,,,,,,,N,N,#125244,
S.S.Carrie E Look,,,schooner,1890,,12/8/1916,1916,12,8,Perth Amboy,,,Foundered,,,,,,530,,,,,,,,,,,,,,,N,,
S.S.Carrie Gibbs,,,schooner,,,12/22/1872,1872,12,22,Turtle Gut Inlet,,,Grounded,,,,,,,,,New York,NY,"Charleston, SC",,,,,,,,#26 & #27,N,N,Refloated,
S.S.Carrie L,,,schooner,1882,"Church Creek, MD",5/11/1911,1911,5,11,Little Beach LSS S 1.5 mi,,,Grounded,,,83.8,25.4,6.4,75,71,"Toppahamolk, VA",Keyport,NJ,Delaware,,4,2,0,"$3,000",,,,N,N,#126084; Refloated,
S.S.Carrie S Webb (1872),,Bentley Miller & Thomas,schooner,1867,"Westerly, RI",12/23/1872,1872,12,23,Turtle Gut Bar,,,Stranded,Wood,US,105,28.6,9,196,,"Brookhaven, NY",New York,NY,"Charleston, SC",R S Holman,7,,0,"$15,000","$40,000",General,Two mile Beach #38; Cape May #39,N,N,"#5425; Refloated; Made way to Charleston, SC",
S.S.Carrie S Webb (1877),,Bentley Gildersleeve & Co,schooner,1867,"Westerly, RI",11/6/1877,1877,11,6,Sandy Hook,,,Stranded,,,100,28.6,9,196,,"Brookhaven, NY",New York,NY,"Savannah, GA",,7,,0, , , ,,N,N,#5425; Refloated,
S.S.Carrie S Webb (1881),,Bentley Gildersleeve & Co,schooner,1867,"Westerly, RI",3/1/1881,1881,3,1,,,,Stranded,,,100,28.6,9,196,,"Brookhaven, NY",Puerto Rico,,"New York, NY",  ,7,,0, , , ,,Y,N,#5425; Sunk,
S.S.Carrie Sanders,,W B Sanders,schooner,1868,"St Andrews, England",12/12/1879,1879,12,12,Sandy Hook Romer Shoal,,,Stranded,,England,83,23,8,78,,"St John, NB, Canada ",New York,NY,"Mayaguez, PR",Saunders,,,,,,Hogs heads & staves,,N,N,#59303; Refloated,
S.S.Cartegena (05/1865),,,schooner,,,5/25/1865,1865,5,25,Cape May,,,Stranded,,England,,,13,,,"Bristol, England",,,,,5,,0,,,,,,N,,
S.S.Cartegena (12/1865),,,schooner,,,12/3/1865,1865,12,3,Two Mile Beach,38-56-28 N,74-51-00 W,Stranded,,England,,,13,,,"Bristol, England",Bristol,England,"Philadelphia, PA",,5,,0,,,In Ballast,,,N,,
S.S.Caspian,,,schooner,,,1/21/1837,1837,1,21,Delaware Bay,,,Grounded,,,,,,,,,,,,,,,,,,,,,N,,
S.S.Catharine,,,schooner,,,3/21/1855,1855,3,21,Cape May,,,"Collision w/ ""Sarah""",,,,,,,,,,,,,,,,,,,,Y,N,Sank; Total loss,
S.S.Catherine H Brown,,,schooner,,,11/21/1851,1851,11,21,Long Beach Island,,,Capsized in storm,,,,,,,,,New York,NY,Southen ports,,,,,,,,,Y,N,Crew saved,
S.S.Catherine W May,C W May,May et al,schooner,1864,"Milford, DE",3/18/1877,1877,3,18,Egg Harbor bar,,,Damaged in gale,Wood,US,,,,270,,"Philadelphia, PA",Philadelphia,PA,"Beverly, MA",Davis,,,,,,,,N,N,#4997,
S.S.Cavalier (1879),,Adamson & Ronaldson,schooner,1866,"Portland, NB",3/20/1879,1879,3,20,Sandy Hook SE 35 mi,,,"Collision w/ ""William R Huston""",,England,176.3,37.3,23.3,1089,,"London, England",New York,NY,"Liverpool, England",J Carver,,,,,,,,N,N,#54418; Put back to New York,
S.S.Cecil P Stewart,,Dunn & Elliot,schooner,1919,"Thomaston, ME",2/17/1927,1927,2,17,Harvey Cedars,,,Stranded,Wood,US,222,41,18,1216,1040,"Rockland, ME",Brunswick,GA,"New York, NY",James Fales,9,,0,"$50,000","$75,000",Railroad Ties,Harvey Cedars; Ship Bottom,Y,Y,#217641; Total loss,
S.S.Celeste,,,schooner,,,12/1842,1842,12,,Absecon Beach,,,Stranded,,,,,,,,,Baltimore,MD,"New York, NY",Johnson,,,,,,,,Y,N,Total loss,
S.S.Centennial (1878),,,schooner,,,1/28/1878,1878,1,28,Little Egg LSS E .5 mi,,,Stranded,,,,,,,,"Tuckerton, NJ",Tuckerton,NJ,"Short Beach, NJ",Tilton,2,,0,$75,,,,,N,,
S.S.Centennial (1888),,,schooner,1876,"Mays Landing, NJ",7/14/1888,1888,7,14,Egg Harbor Inlet North bar,,,Stranded,,,82.4,28.4,5.9,113.22,107.56,"Somers Point, NJ",Mays Landing,NJ,"New York, NY",Smith,5,,0,,,Wood,Ocean City,N,N,#125480; Refloated,
S.S.Centennial (1895),,,schooner,1876,"Mays Landing, NJ",5/13/1895,1895,5,13,Absecon Inlet outer bar,,,Stranded,,,82.4,28.4,5.9,113.22,107.56,"Baltimore, MD",Haverstraw,NY,"Atlantic City, NJ",Thorington,3,,0,"$3,000",$800,Brick,,N,N,#125480; Refloated,
S.S.Champion (1853),,,schooner,,,5/18/1853,1853,5,18,Marcus Hook,,,Sank,,,,,,,,,Lewes,DE,"Philadelphia, PA",,,,,,,,,,Y,,
S.S.Charles A Briggs,,,schooner,,,10/28/1891,1891,10,28,Barnegat Shoal,,,Stranded,,,,,,758,,"Fall River, MA",Fall River,MA,"Norfolk, VA",Whittier,8,,0,"$18,000",,,Barnegat,N,N,Refloated,
S.S.Charles A Campbell,,Matowac Corp,schooner,1890,"Bath, ME",1926,1926,,,Bayonne,,,Abandoned,,,228.3,46.4,21.6,1586,1493,"Bath, ME",,,,Henry W Hall,,,,,,,,N,N,Laid up & abandoned,
S.S.Charles A Coulomb,,George E Meger,schooner,1873,"Milton, DE",12/7/1885,1885,12,7,Cape May,,,Lost sails & spar in gale,Wood,,,,,443.39,421.22,"Philadelphia, PA",Cardenas,Mexico,"Philadelphia, PA",George E Meger,9,,0,"$10,000","$35,000",500 ton sugar,,N,N,#125115,
S.S.Charles A Keeler,,,schooner,,"Albany, NY",6/2/1840,1840,6,2,Squan Beach,,,Grounded,,,,,,,,"Albany, NY",Philadelphia,PA,"Albany, NY",,,,,,,,,,N,,
S.S.Charles A Moller,,,schooner,,,12/1/1872,1872,12,1,Sandy Hook Swash Channel,,,Leaking; Abandoned,,,,,,126,,"Boston, MA",Philadelphia,PA,"Boston, MA",Browne,5,,2,,,Coal,,Y,N,Sank,
S.S.Charles Colgate,,Maibler & Lord,schooner,1850,"Patchogue, NY",1/13/1856,1856,1,13,Brigantine Shoal,39-24-00 N,74-18-00 W,Stranded in storm,,,,,11,290,,"New York, NY",,,,,5,,0,,,,,Y,N,Total loss; Crew saved,
S.S.Charles Colgate,,Maibler & Lord,schooner,1850,"Patchogue, NY",2/16/1858,1858,2,16,Squan Beach,,,Stranded in storm,,,,,11,290,,"New York, NY",Baltimore,MD,"New York, NY",,5,,0,,,Corn,,N,N,Refloated 2/18/1858; Crew saved,
S.S.Charles Cranmer,,,schooner,,,6/11/1856,1856,6,11,Squan Beach E 10 mi,,,Burned,,,,,,,,,New York,NY,"Richmond, VA",,,,,,,,,Y,N,Total loss; Crew saved,
S.S.Charles D Ellis,,,schooner,,,11/27/1851,1851,11,27,Egg Harbor Light E 9 mi,,,"Collision w/ ""Brother Jonathan""",,,,,,,,,San Juan,Puerto Rico,"Wilmington, NC",Smith,,,0,,,,,Y,N,Total Loss,
S.S.Charles Dennis,,E S Nightingale,schooner,1859,"Stonybrook, NY",12/31/1880,1880,12,31,Delaware Bay,,,Crushed in ice,,,109.4,29.2,10.2,293,,"Providence, RI",Port Richmond,PA,"New Bedford, MA",,5,,0,,,Coal,Cape May #40,Y,N,#4776; Sank,
S.S.Charles E Balch (A),,,schooner,1882,"Bath, ME",2/1/1886,1886,2,1,Sandy Hook Flynn's Knoll N 2 mi,,,Stranded,,,181.6,36.6,14.3,843.73,801.61,"Bath, ME",Perth Amboy,NJ,"Portland, ME",Manson,10,,0,"$40,000","$5,600",Coal,Sandy Hook,N,N,#126044; Refloated,
S.S.Charles E Balch (B),,,schooner,1882,"Bath, ME",5/30/1886,1886,5,30,Townsends Inlet South bar,,,Stranded,,,181.6,36.6,14.3,843.73,801.61,"Bath, ME",Bath,ME,"Philadelphia, PA",Manson,9,,0,"$40,000","$14,000",Ice,Townsend Inlet,N,N,#126044; Refloated,
S.S.Charles E Jackson,,A E Babcock,schooner,1867,"Camden, NJ",12/24/1875,1875,12,24,Deal Beach; Long Branch LSS S 3 mi,,,Stranded,Wood,US,117,30,9.8,231.51,,"Camden, ME",Portland,ME,"Philadelphia, PA",Somers French,7,,0,"$18,000",,In ballast,Long Branch #7,N,N,#5493; Refloated 1/25/1876,
S.S.Charles E Page,,,schooner,,,1838 - 1878,1860,,,Squan Inlet S 2.5 mi,,,Stranded,,,,,,,,,,,,,,,,,,,,,N,,
S.S.Charles E Pope,,,schooner,,,5/8/1867,1867,5,8,Squan Beach,,,Wrecked,,US,,,,,,,,,,,5,,0,,,In ballast,,,N,,
S.S.Charles E Raymond,C E Raymond,E Higgins,schooner,1864,"Wilmington, DE",3/4/1872,1872,3,4,Cape May NNW 7 mi,,,"Collision w/ sunken ""Harry Conrad""",,US,,,12,309,,"Boston, MA",Boston,MA,"Philadelphia, PA",E Higgins,,,,,,,,N,N,Slight damage,
S.S.Charles H Marshall,,,schooner,,,12/17/1889,1889,12,17,Sandy Hook LSS S 11.5 mi,,,Stranded,,,,,,45,,"New York, NY",,,Cruising,Patterson,,,,"$6,000",,None,Sandy Hook & Spermaceti Cove,N,N,Refloated w/ no damage,
S.S.Charles Haskell,,,schooner,1869,"Essex, MA",4/29/1885,1885,4,29,Sandy Hook LSS SW 1 mi,,,Dragged Anchors in gale,Wood,,72,21.2,7.3,65.62,62.34,"Gloucester, MA",Gloucester,MA,Fishing service,Thurston,16,,0,"$5,000",,,,N,N,#5717; Refloated; Towed to NY,
S.S.Charles J String,,,schooner,,,4/27/1894,1894,4,27,Ocean City LSS ESE 2 mi,,,Grounded,Wood,US,,,,58,,"Milford, DE",Little Egg Harbor,NJ,"Milford, DE",Murphy,4,,0,"$5,000","$1,500",Fish scrap,Ocean City,N,N,Refloated,
S.S.Charles L Davenport (1895),Asbury Fountain,,schooner,1890,"Thomaston, ME",10/27/1895,1895,10,27,Tathams Beach South End,,,Stranded,,US,190.9,38.2,18.8,1032.03,980.43,"Thomaston, ME",Providence,RI,"Philadelphia, PA",Watt,9,,0,"$60,000",,,"Tothams, Hereford, Holly Beach",N,N,#126607; Refloated,
S.S.Charles L Davenport (1900),Asbury Fountain,,schooner,1890,"Thomaston, ME",7/1900,1900,7, ,Sandy Hook,,,Fire,,US,190.9,38.2,18.8,1032.03,980.43,"Philadelphia, PA",Philadelphia,PA,"Bangor, ME",,,,0,"$60,000",,Coal,,N,N,#126607; Ship saved,
S.S.Charles L Lawrence,,,schooner,,,12/19/1875,1875,12,19,Atlantic City LSS E,,,Stranded,,,,,,,,,Chincoteague,VA,"New York, NY",W Adams,3,,0,"$4,000","$1,000",Oysters,Atlantic City #27,N,N,Refloated,
S.S.Charles L Mitchell,,,schooner,1881,"New Haven, CT",3/23/1896,1896,3,23,Cold Spring Inlet North bar,,,Stranded in snow storm,,,154.2,35.8,10.6,597.04,567.19,"Boston, MA",Port of Spain,Trinidad,"New York, NY",George W Frost,9,,0,"$10,000","$7,000",Asphalt,"Cold Spring, Turtle Gut, Cape May",N,N,#125938; Refloated,
S.S.Charles M Newins (1881),,W H Thompson,schooner,1860,"Port Jefferson, NY",1/28/1881,1881,1,28,Barnegat LSS E 1 mi,,,Grounded,Wood,US,113,30.3,15.8,384.11,364.91,"New York, NY",Mobile,AL,"New York, NY",Tuttle,7,,0,"$10,000","$5,000",,,N,N,#4780; Refloated,
S.S.Charles M Newins (1886),,W H Thompson,schooner,1860,"Port Jefferson, NY",2/10/1886,1886,2,10,Barnegat SE 20 mi,,,Burned; Abandoned,Wood,US,113,30.3,15.8,384.11,364.91,"New York, NY",Wilmington,NC,"New York, NY",Hawkins,7,,0,"$10,000",,Naval stores,,Y,N,#4780; Sank,
S.S.Charles P Notman,,Samuel R Percy,schooner,1894,"Bath, ME",6/11/1900,1900,6,11,Cape May,,,"Collision w/ ""Colorado""",Wood,US,219.3,42.5,20.5,1518,1302,"Bath, ME",Norfolk,VA,"Portland, ME",L W Jewett,,,,,,Coal,,Y,N,#127047;  Total loss,
S.S.Charles Pitman,,,schooner,,,1/1845,1845,1,,Sandy Hook Romer Shoal,,,Grounded; Bilged,,,,,,,,"Townsend, MD",Richmond,VA,"New York, NY",,,,,,,,,Y,N,Total loss,
S.S.Charles W Alcott,,,schooner,1873,"Greenpoint, NY",5/5/1912,1912,5,5,,,,,,,132.3,36,9,296,281,"New York, NY",New York,NY,"Little Egg Harbor, NJ",,6,,0,"$7,200","$1,600",Coal,Little Egg,N,N,#125143; Refloated,
S.S.Charles W Church,,,schooner,1884,"Bath, ME",4/14/1913,1913,4,14,Barnegat Inlet E 5 mi,,,Collision,Wood,,179.3,37.9,13.9,844,718,"Fall River, MA",,,,,8,,0,"$10,000","$4,400",,,N,N,"#126320; Towed to Tomkinsville, NY by ""Mohawk""",
S.S.Charles W Parker,,,schooner,1883,"Salem, MA",4/23/1907,1907,4,23,Atlantic City LSS SE .75 mi,,,Stranded,,,71,20.2,7.2,57,54,"Kennebunk, ME",Atlantic City,NJ,"Cape Hatteras, NC",Larsen,11,,0,"$2,000",,None,Atlantic City,Y,N,#126087; Total loss,
S.S.Charles Will,,,schooner,,,4/14/1868,1868,4,14,Sandy Hook,,,Stranded,,,,,,,,,,,,,5,,,,,,,,N,,
S.S.Charlotte T Sibley,,Edward Sibley,schooner,1882,"Belfast, ME",6/26/1884,1884,6,26,Absecon Inlet E 15 mi,,,Lost sails in gale,,,140,32.8,11,358,,"Belfast, ME",Jacksonville,FL,"New York, NY",Bartlett Thomas,,,,,,,,N,N,#126077,
S.S.Charming Peggy (1752),,,schooner,,,11/13/1752,1752,11,13,Sandy Hook,,,Grounded in gale,,,,,,,,,Cape Fare,,"New York, NY",Alexander Sloan,,,,,,237 bbl tar,,Y,N,Ship lost; Crew & cargo saved,
S.S.Cheaton,,,schooner,,,2/8/1872,1872,2,8,Barnegat,,,Lost sails,,,,,,,,,Port Morant,Jamaica,"New York, NY",,,,,,,,,N,N,,
S.S.Cherokee (1843),,,schooner,,,8/14/1843,1843,8,14,New Jersey coast,,,Foundered; Abandoned,,,,,,,,"Bristol, RI",Richmond,VA,"Bristol, RI",Usher,,,,,,,,Y,N,Sank; Total loss,
S.S.Chief,,,schooner,,,1838 - 1878,1860,,,Barnegat Inlet N 4.5 mi,,,Wrecked,,,,,,,,,,,,,,,,,,,,,N,,
S.S.Chimo,,E C Hincks,schooner,1869,"Brewer, ME",10/4/1875,1875,10,4,Townsends Inlet N 3 mi,,,Stranded,Wood,US,107,28,8,186,,"Bangor, ME",Bangor,ME,"Charleston, SC",E Lamsill,10,,0,"$10,000","$5,500",Hay,Ludlams Beach #33,N,N,Refloated,
S.S.Chocorua,Chocoma,,schooner,1869,"Gloucester, MA",5/29/1898,1898,5,29,Brigantine Shoal,39-23-00 N,74-23-00 W,Stranded,Wood,US,72,21,7.3,62.87,59.73,"New York, NY",Cape Henry,VA,"New York, NY",Smith,9,,0,"$3,000",$700,Fish,Brigantine,Y,N,#5734; Total loss,
S.S.Choctaw (1843),,,schooner,,,1/30/1843,1843,1,30,Sandy Hook Point,,,Stranded,,,,,,,,,Charleston,SC,"Boston, MA",,,,,,,,,Y,N,Total loss,
S.S.Cinderella,,,schooner,,,9/1866,1866,9,,,,,Wrecked,,,,,,,,,Philadelphia,PA,"New York, NY",,,,,,,,,,N,,
S.S.Cissie Wright,,,schooner,,,10/19/1881,1881,10,19,Cape May LSS E 1.25 mi,,,Grounded,,,,,,386,,"Philadelphia, PA",Providence,RI,"Philadelphia, PA",Clark,7,,0,"$25,000",,In ballast,Cape May #40,N,N,Refloated,
S.S.City of Georgetown,,Pardon G Thompson,schooner,1902,"Bath, ME",2/2/1913,1913,2,2,Five Fathom Bank Lightship,38-38-00 N,74-40-00 W,"Collision w/ ""Prinz Oskar""",Wood,US,168.7,36.4,12.6,599,506,"New Bedford, MA",New York,NY,"Savannah, GA",Abram J Slocum,8,,4,,,Salt,,Y,Y,#127709; Sank; Total loss,
S.S.Clara (1922),,,schooner,1896,"Bath, ME",1/12/1922,1922,1,12,Barnegat SE 11 mi,,,Foundered,Wood,US,184.2,35.1,16.8,828,748,"Boston, MA",Norfolk,VA,"Boston, MA",,4,,0,,,Coal,,,N,#127158,
S.S.Clara Belle,,J R Jones,schooner,1853,"Dorchester, MD",3/13/1872,1872,3,13,"Highlands, NJ",,,Wrecked,,,,,7,160,,"Baltimore, MD",New York,NY,"Boston, MA",Jones,,,,,,,,,N,,
S.S.Clara C Frey,,,schooner,,,1/26/1871,1871,1,26,"Cranberry Inlet, NJ",,,Grounded,,US,,,,85,,,Baltimore,MD,"New York, NY",Cooper,5,,0,,,Lumber,,Y,N,Total loss,
S.S.Clara Davidson (1872),,Somers & Co,schooner,1865,"Tuckerton, NJ",12/27/1872,1872,12,27,Great Egg Harbor,,,Stranded,,,,,8,129,,"Great Egg Harbor, NJ",,,,E E Blackman,,,,,,,,N,N,Refloated,
S.S.Clara Davidson (1873),,Somers & Co,schooner,1865,"Tuckerton, NJ",3/28/1873,1873,3,28,Cape May Cox's Shoal,,,Stranded,,,,,8,129,,"Great Egg Harbor, NJ",North Carolina,,"Philadelphia, PA",E E Blackman,9, ,0,"$12,000","$3,000",Shingles,Cape May #39,N,N,Refloated,
S.S.Clarence H Venner,,,schooner,1890,"Newburyport, MA",12/24/1905,1905,12,24,Avalon LSS E 1 mi,,,Stranded,Wood,,184.7,38,20.4,934,814,"Dennis, MA",Wiscosset,ME,"Philadelphia, PA",Baker,9,,0,"$40,000",,None,Avalon,N,Y,#126605; Refloated,
S.S.Clarissa and Mary,,,schooner,,,12/24/1838,1838,12,24,Absecon bar,,,Grounded,,,,,,,,,Curacao,,"New York, NY",,,,,,,,,Y,N,Total loss,
S.S.Claudia V (1898),,,schooner,1876,"Islip, NY",9/19/1898,1898,9,19,Great Egg Harbor SW 2 mi,,,Stranded,,,46.8,16.5,4.1,22,21,"Somers Point, NJ",,,Fishing service,Conover,7,,0,"$1,800",,,,N,N,#125490; Refloated,
S.S.Claudia V (1900),,,schooner,1876,"Islip, NY",3/28/1900,1900,3,28,Great Egg LSS WSW .75 mi,,,Stranded,,,46.8,16.5,4.1,22,21,"Somers Point, NJ",Pleasantville,NJ,"Maurice River, NJ",Conover,2,,0,"$1,800",,None,,N,N,#125490; Refloated,
S.S.Clayton Frame,,,schooner,1864,"Milford, DE",6/14/1886,1886,6,14,Monmouth Beach LSS N 1 mi,,,Grounded,,,60.2,22.8,4.6,48.69,46.45,"Milville, NJ",Broadkill,DE,"New York, NY",Charles E Smith,4,,0,"$1,200",$800,Charcoal,Seabright #3,Y,N,#5368; Total loss,
S.S.Clepsyda,,,schooner,,,9/5/1839,1839,9,5,Cold Spring Bar,,,Grounded,,,,,,,,"East Hadam, CT",East Hadam,CT,"Philadelphia, PA",,,,0,,,,,,N,,
S.S.Clyde (1875),,S B Gurney,schooner,1857,Lake Erie,9/12/1875,1875,9,12,Barnegat Light E 4.5 mi,,,Foundered,,,,,9,220,,"Wareham, MA",Georgetown,DC,"Wareham, MA",Gurney,,,,,,Coal,,Y,N,"""Pottsville"" rescued crew",
S.S.Cohasset,,Eugene W Fry,schooner,1921,"Noank, CT",11/16/1926,1926,11,16,Brigantine Gas Buoy,,,Damaged in storm,Wood,US,267.3,46.3,23.6,2226,2142,"Philadelphia, PA",Norfolk,VA,"Boston, MA",Howard Gregory,5,,0,"$50,000",,Coal,,N,N,#221605; Towed to NY for repairs,
S.S.Colonel James Page,,,schooner,,,3/18/1855,1855,3,18,Corsons Inlet,39-12-10 N,74-38-30 W,Wrecked,,,,, ,,,"Philadelphia, PA",Philadelphia,PA,"New York, NY",,5,,,,,Coal,,Y,N,Total loss,
S.S.Colorado,,,schooner,,,8/20/1865,1865,8,20,Townsends Inlet,39-06-30 N,74-42-00 W,Grounded,,,,,,,,"Philadelphia, PA",Philadelphia,PA,"New York, NY",,5,,,,,Coal,,Y,N,Total loss,
S.S.Columbus (1855),,,schooner,,,7/21/1855,1855,7,21,Deal Beach,,,Stranded,,,,,,,,,Plymouth,NC,"New York, NY",,,,,,,,,Y,N,Total loss,
S.S.Colville,,,schooner,,,1/31/1877,1877,1,31,,,,Stranded,,,,,,21,,,,,,,,,0,,,,,,N,,
S.S.Commack,,Puritan Lumber Co,schooner,1918,"Wilmington, DE",1/20/1925,1925,1,20,Sandy Hook,,,Stranded,Wood,US,228.6,40,19,1446,1330,"New London, CT",,,,W B Alberta,10,,0,,"$1,875",Lumber & ties,,N,Y,#216356; Refloated,
S.S.Commander,,,schooner,1863,"New Haven, CT",12/30/1881,1881,12,30,Sandy Hook LSS W 1.5 mi,,,Stranded,,,,,,277.27,263.41,"Boston, MA",Baltimore,MD,"New York, NY",Hall,6,,0,"$6,500","$1,400",Coal,Sandy Hook #1,N,N,#4868; Refloated,
S.S.Commerce (1841),,,schooner,,,4/12/1841,1841,4,12,Sandy Hook Light S,,,Stranded,,,,,,,,"Wiscasset, ME",,,,Hutchings,,,,,,,,N,N,Refloated,
S.S.Commodore (1891),,,schooner,1860,"Noank, CT",5/31/1891,1891,5,31,Absecon LSS S 2.25 mi,,,Stranded,Wood,US,47.6,17,6.6,25.73,24.45,"Stonington, CT",New York,NY,Fishing trip,Littlefield,7,,0,"$2,500",$300,Fish,Absecon # 28,N,Y,#5074; Refloated,
S.S.Commodore (1894),,,schooner,1860,"Noank, CT",2/7/1894,1894,2,7,Little Egg LSS S 1.5 mi,,,Grounded,Wood,US,47.6,17,6.6,25.73,24.45,"New York, NY",New York,NY,Fishing trip,Peterson,6,,0,"$1,300",$150,Fish,Little Egg,N,Y,#5074; Refloated,
S.S.Commodore (1900),,,schooner,1860,"Noank, CT",6/2/1900,1900,6,2,Five Fathom Bank,,,Grounded,Wood,US,47.6,17,6.6,25.73,24.45,"Philadelphia, PA",Philadelphia,PA,Fishing trip,John Hamilton,8,,0,"$1,000", , ,,,Y,#5074,
S.S.Concord (1817),,,schooner,,,10/1817,1817,10,,Cape May,,,Stranded,,,,,,,,,Ocracoke,NC,"New York, NY",,,,,,,,,Y,N,Ship & cargo lost,
S.S.Conde De Luchana,Conda La China,,schooner,,,10/1851,1851,10,,Long Beach Island,,,,,Spain,,,,,,,,,,,5,,,,,Hides & tobacco,,Y,N,"Broke up; AKA ""Conda La China""",
S.S.Condova,,,schooner,,,5/8/1877,1877,5,8,Cape May Point,,,Stranded,,,,,,159,150.47,"Bristol, RI",Bristol,RI,"Philadelphia, PA",Ryan,9,,0,"$3,500",,In ballast,Cape May #40,Y,N,#4259; Total loss,
S.S.Confidence (1842),,,schooner,,,12/7/1842,1842,12,7,New Jersey coast,,,Wrecked; Abandoned,,,,,,,,,New York,NY,"Egg Harbor, NJ",Sears,3,,0,,,,,,N,,
S.S.Congress (1879),,,schooner,1866,"Rio Grande, NJ",7/27/1879,1879,7,27,Townsends Inlet North bar,,,Stranded,Wood,US,63.8,21.2,4,36.76,34.92,"Bridgeton, NJ",Cape May,NJ,"Philadelphia, PA",Leaming,4,,0,"$3,000",$250,Pinewood,Townsends Inlet #34,N,N,#5281; Refloated,
S.S.Congress (1894),,,schooner,1866,"Rio Grande, NJ",4/16/1894,1894,4,16,Hereford Inlet,,,Grounded,Wood,US,63.8,21.2,4,36.76,34.92,"Bridgeton, NJ",Hogs Island,VA,"Hereford, NJ",Colwell,3,,0,"$1,000",$400,Oysters,,N,N,#5281; Refloated,
S.S.Constellation (1844),,,schooner,,,1844,1844,,,At sea,,,Lost at sea,,,,,,,,"Great Egg Harbor, NJ",Philadelphia,PA,"Providence, RI",Smith,,,,,,Coal,,Y,N,Never seen again ,
S.S.Constitution (1877),,,schooner,,,4/1/1877,1877,4,1,Cold Spring Inlet South bar,,,Stranded,,,,,,12.92,,"Port Republic, NJ",Port Republic,NJ,"Riverton, NJ",Johnson,3,,0,"$1,000",$300,Guano & fish,Two Mile Beach #38,Y,N,#5980Total loss,
S.S.Cora (1855),,,schooner,,,4/1855,1855,4,,Cape May Light,,,Grounded,,,,,,,,,Philadelphia,PA,"Roxbury, MA",,,,,,,,,,N,,
S.S.Cora (1875),,,schooner,,,11/8/1875,1875,11,8,Squan Beach,,,Leaking badly; Grounded,,,,,,52.17,,"Tuckerton, NJ",Egg Harbor,NJ,"New York, NY",McKeen,5,,0,"$16,000",$400,Hop poles,Swan Point #11,Y,N,#4524; Total loss,
